Hi.	Salut!
Apparently I'm adopted.	Apparemment, je suis adopté.
Are things OK with you?	Les choses vont-elles bien pour vous ?
Are you a student here?	Es-tu élève, ici ?
Are you being followed?	Es-tu suivi ?
Are you busy right now?	Es-tu occupé actuellement ?
Are you falling for me?	Êtes-vous en train de tomber amoureux de moi ?
Are you going to do it?	Est-ce que vous allez le faire ?
Are you good at tennis?	Es-tu bon au tennis ?
Are you laughing at me?	Tu ris de moi ?
Are you ready to begin?	Es-tu prête à commencer ?
Are you ready to begin?	Êtes-vous prête à vous y mettre ?
Are you ready to party?	Êtes-vous prêtes à faire la fête ?
Are you seeing someone?	Vois-tu quelqu'un ?
Are you wearing a wire?	Portez-vous un micro ?
Aren't you embarrassed?	N'es-tu pas gêné ?
Aren't you the manager?	N'êtes-vous pas le gérant ?
Boston is a large city.	Boston est une grande ville.
Bring the bill, please.	L'addition, s'il vous plaît.
Call them this evening.	Appelle-les ce soir.
Can I have this orange?	Puis-je avoir cette orange ?
Can I see you a second?	Puis-je vous voir une seconde ?
Can someone check this?	Quelqu'un peut vérifier ça ?
Can you call me a taxi?	Pouvez-vous m'appeler un taxi ?
Can you do that for me?	Est-ce que tu peux faire ça pour moi?
Can you make me a copy?	Pouvez-vous me faire une copie ?
Can you show me around?	Tu peux me faire visiter?
Can you understand Tom?	Pouvez-vous comprendre Tom ?
Can't you see I'm busy?	Ne pouvez-vous voir que je suis occupé ?
Charge this bill to me.	Imputez-moi cette note.
Close the door, please.	Veuillez fermer la porte.
Come here and sit down.	Viens ici et assieds-toi.
Come whenever you want.	Viens quand tu veux.
Could I work part-time?	Pourrais-je travailler à temps partiel ?
Could you leave me one?	Pourriez-vous m'en laisser une ?
Dancing is not a crime.	Danser n'est pas un crime.
Did it snow last night?	A-t-il neigé cette nuit?
Did you ask the others?	Est-ce que tu as demandé aux autres ?
Did you enjoy the show?	As-tu apprécié le spectacle ?
Did you enjoy yourself?	Vous êtes-vous amusée ?
Did you get his letter?	As-tu reçu sa lettre ?
Did you lock the doors?	Avez-vous fermé les portes à clé ?
Did you see what I did?	As-tu vu ce que j'ai fait ?
Did you watch the game?	As-tu regardé le match ?
Do I have to wait long?	Dois-je attendre longtemps ?
Do those insects sting?	Ces insectes piquent-ils ?
Do you believe in UFOs?	Croyez-vous aux OVNI ?
Do you drink green tea?	Bois-tu du thé vert ?
Do you have a question?	Avez-vous une question ?
Do you have an opinion?	As-tu une opinion ?
Do you have some money?	Avez-vous un peu d'argent ?
Do you know how to ski?	Sais-tu faire du ski ?
Do you know who she is?	Sais-tu qui elle est ?
Do you like this music?	Aimes-tu cette musique?
Do you need some water?	Te faut-il de l'eau ?
Do you see the raccoon?	Voyez-vous le raton laveur ?
Do you study every day?	Étudiez-vous chaque jour ?
Do you think in French?	Réfléchissez-vous en français ?
Do you want me to wait?	Veux-tu que j'attende ?
Do you want to be rich?	Voulez-vous devenir riches ?
Do you write in French?	Écrivez-vous en français ?
Does the coat fit well?	La veste lui va bien ?
Don't be fresh with me.	Ne sois pas effrontée avec moi !
Don't change your mind.	Ne change pas d'avis.
Don't get mad, promise.	Ne te mets pas en colère, promets !
Don't go without a hat.	Ne t'y rends pas tête nue.
Don't leave them alone.	Ne les laissez pas seules.
Don't make me kill you.	Ne me force pas à te tuer !
Don't raise your voice.	N'élevez pas la voix !
Don't spoil your child.	Ne gâte pas ton enfant.
Don't take any chances.	Ne prenez aucun risque !
Don't tell your mother.	Ne le dis pas à ta mère.
Don't try this at home.	N'essayez pas ça à la maison.
Don't waste your money.	Ne jette pas ton argent par les fenêtres.
Don't you want to help?	Ne veux-tu pas donner de l'aide?
Europe isn't a country.	L'Europe n'est pas un pays.
Everybody was startled.	Tout le monde fut arrêté.
Everyone was horrified.	Tout le monde a été horrifié.
Everything has changed.	Tout a changé.
Figure it out yourself.	Débrouille-toi tout seul.
Forget I said anything.	Oublie que j'ai dit la moindre chose.
Get in the car, please.	Montez dans la voiture, s'il vous plaît.
Give it to me straight.	Donne-le-moi immédiatement.
Give me thirty seconds.	Donne-moi trente secondes.
God has a plan for you.	Dieu a un projet pour vous.
Has Tom eaten anything?	Tom a-t-il mangé quelque chose ?
Have a seat, won't you?	Prenez place, voulez-vous ?
Have you ever tried it?	L'as-tu jamais tenté ?
Have you seen this man?	Avez-vous vu cet homme?
He always studies hard.	Il étudie toujours avec application.
He began to cry loudly.	Il se mit à pleurer tout fort.
He called out for help.	Il a appelé à l'aide.
He can't run very fast.	Il ne peut pas courir très vite.
He delivers newspapers.	Il livre les journaux.
He did badly at school.	Il s'est mal débrouillé à l'école.
He didn't get the joke.	Il n'a pas compris la vanne.
He does not wear a hat.	Il ne porte pas de chapeau.
He found me a good job.	Il m'a trouvé un bon travail.
He got his watch fixed.	Il a fait réparer sa montre.
He handed in his paper.	Il remit son journal.
He has broad shoulders.	Il est doté de larges épaules.
He has no specific aim.	Il n'a pas de but particulier.
He is Italian by birth.	Il est Italien de naissance.
He is an office worker.	C'est un employé de bureau.
He is fond of painting.	Il adore la peinture.
He is popular among us.	Il est populaire parmi nous.
He isn't alone anymore.	Il n'est plus seul.
He laughed off my idea.	Il a tourné mon idée en dérision.
He likes to read books.	Il aime lire des livres.
He made a bad decision.	Il prit une mauvaise décision.
He missed the deadline.	Il a manqué la date limite.
He often quotes Milton.	Il cite souvent Milton.
He remains sick in bed.	Il est malade et alité.
He sang some old songs.	Il chanta de vieilles chansons.
He seems very pleasant.	Il semble fort agréable.
He spoke highly of you.	Il a été dithyrambique à ton sujet.
He took me by the hand.	Il m'a pris par la main.
He uncorked the bottle.	Il a débouchonné la bouteille.
He was a real drunkard.	C'était un vrai poivrot.
He was drunk and angry.	Il était en état d'ébriété et en colère.
He was scared to do it.	Il avait peur de le faire.
He wears thick glasses.	Il porte des verres épais.
He went to the library.	Il se rendit à la bibliothèque.
He won't come, will he?	Il ne viendra pas, n'est-ce pas ?
He'll succeed for sure.	Il est certain qu'il réussira.
He's as blind as a bat.	Il est myope comme une taupe.
He's not a boy anymore.	Il n'est plus un garçon.
He's stalling for time.	Il gagne du temps.
Help me out, would you?	Aide-moi, veux-tu ?
Here comes our teacher.	Voilà notre professeur.
His car is really cool.	Sa voiture est vraiment chouette.
His sister looks young.	Sa sœur semble jeune.
Hold the elevator, Tom.	Retiens l'ascenseur, Tom.
How are you holding up?	Comment fais-tu face ?
How could I lie to you?	Comment pourrais-je vous mentir ?
How did Tom get caught?	Comment Tom s'est-il fait attraper ?
How do I turn this off?	Comment est-ce que j'éteins ça ?
How is that pronounced?	Comment ça se prononce ?
How long were you gone?	Combien de temps es-tu partie ?
How much is the ticket?	Combien coûte le billet ?
How soon can you start?	Quand pouvez-vous démarrer au plus tôt ?
How's everything going?	Comment tout se déroule-t-il ?
I almost never do that.	Je ne fais presque jamais cela.
I am brushing my teeth.	Je me brosse les dents.
I am off duty tomorrow.	Je ne suis pas de garde, demain.
I apologized profusely.	Je me confondis en excuses.
I asked Tom for advice.	J'ai demandé conseil à Tom.
I assume that's a joke.	Je suppose que c'est une blague.
I believe this is mine.	Je crois que c'est le mien.
I bought lots of books.	J'ai acheté une quantité de livres.
I came with my friends.	Je suis venu avec mes amis.
I can follow the rules.	Je peux suivre les règles.
I can't agree with you.	Je ne peux être d'accord avec vous.
I can't do that either.	Je ne peux pas faire cela non plus.
I can't find the bread.	Je ne trouve pas le pain.
I can't hear very well.	J'ai du mal à entendre.
I can't really do that.	Je ne peux pas vraiment faire ça.
I can't wait that long.	Je ne peux pas attendre aussi longtemps.
I considered not going.	J'ai songé à ne pas m'y rendre.
I could use some sleep.	Un peu de sommeil ne serait pas du luxe.
I dare say he is right.	J'ose dire qu'il a raison.
I did nothing unlawful.	Je n'ai rien fait d'illégal.
I didn't do it for you.	Je ne l'ai pas fait pour toi.
I didn't know you then.	Je ne te connaissais pas, alors.
I didn't take a shower.	Je n'ai pas pris de douche.
I do this for a living.	Je fais ça comme moyen de subsistance.
I don't feel safe here.	Je ne me sens pas en sécurité, ici.
I don't have any money.	Je n'ai aucune oseille.
I don't know that word.	Je ne connais pas ce mot.
I don't know your name.	J'ignore ton nom.
I don't like that name.	Je n'aime pas ce nom.
I don't like your boss.	Je n'aime pas ton patron.
I don't need an excuse.	Je n'ai pas besoin d'excuse.
I don't see the appeal.	Je ne vois pas l'attrait.
I don't understand you.	Je ne vous comprends pas.
I don't want your gold.	Je ne veux pas de votre or.
I enjoyed it very much.	Ça m'a beaucoup plu.
I feel different today.	Je me sens différent, aujourd'hui.
I fell asleep in class.	Je me suis endormi en classe.
I filled in the blanks.	J'ai complété les blancs.
I gather you were hurt.	Je conclus que vous avez été blessé.
I go skiing very often.	Je vais très souvent skier.
I got it for Christmas.	Je l'ai eue pour Noël.
I grew up in Australia.	J'ai grandi en Australie.
I had a busy afternoon.	J'ai eu une après-midi chargée.
I had an asthma attack.	J'ai eu une crise d'asthme.
I had to do this today.	J'ai dû le faire aujourd'hui.
I had to give it a try.	J'ai dû en faire un essai.
I had to see you again.	Je devais vous revoir.
I have a full-time job.	J'ai un travail à temps plein.
I have a wife and kids.	J'ai une femme et des enfants.
I have many model cars.	J'ai de nombreuses petites voitures.
I have only one sister.	Je n'ai qu'une sœur.
I have to do it myself.	Il me faut le faire moi-même.
I have to take an exam.	Je dois passer un examen.
I hear someone singing.	J'entends quelqu'un chanter.
I hit him in the belly.	Je l'ai frappé au ventre.
I hope to see you soon.	J'espère te voir bientôt.
I just couldn't say no.	Je ne pouvais simplement pas dire non.
I just want a vacation.	Je veux simplement des vacances.
I knew that it was you.	Je savais que c'était toi.
I know I'm good enough.	Je sais que je suis assez bon.
I know Tom is finished.	Je sais que Tom a terminé.
I know Tom is sensible.	Je sais que Tom est judicieux.
I know each one of you.	Je connais chacun d'entre vous.
I know neither of them.	Je ne connais aucune d'elles.
I know who my enemy is.	Je sais qui est mon ennemi.
I know you feel lonely.	Je sais que vous vous sentez seule.
I leave this afternoon.	Je pars cet après-midi.
I like classical music.	J'aime la musique classique.
I like speaking French.	J’aime parler en français.
I like to grow flowers.	J'aime faire pousser des fleurs.
I like you as a friend.	Je t'apprécie en tant qu'amie.
I looked in the window.	J'ai regardé par la fenêtre.
I lost three kilograms.	J'ai perdu trois kilos.
I love making desserts.	J'adore faire des desserts.
I made my dog lie down.	Je fis se coucher mon chien.
I moved here yesterday.	J'ai emménagé ici hier.
I need a pen and paper.	J'ai besoin d'un papier et d'un stylo.
I need to find Tom now.	J'ai besoin de trouver Tom maintenant.
I never agree with him.	Je ne suis jamais d'accord avec lui.
I only have one sister.	Je n'ai qu'une sœur.
I prefer coffee to tea.	Je préfère le café au thé.
I put it in the drawer.	Je l'ai mis dans le tiroir.
I read a lot of novels.	Je lus de nombreux romans.
I really can't do that.	Je ne peux vraiment pas faire ça.
I really like this one.	J'aime vraiment celui-ci.
I really want to leave.	Je veux vraiment partir.
I remember that speech.	Je me rappelle ce discours.
I sat down next to him.	Je me suis assise à côté de lui.
I saw Tom hitting Mary.	J'ai vu Tom frapper Marie.
I see how you did that.	Je vois comment vous l'avez fait.
I sent an email to you.	Je t'ai envoyé un courrier électronique.
I should've worn a hat.	J'aurais dû porter un chapeau.
I spoke with my family.	J'ai parlé avec ma famille.
I suppose you like him.	Je suppose que vous l'aimez.
I suspect you're wrong.	Je soupçonne que vous avez tort.
I think I deserve that.	Je pense que je le mérite.
I think Tom is amusing.	Je trouve Tom amusant.
I think about it often.	J'y pense souvent.
I think she'll succeed.	Je pense qu'elle réussira.
I think we should talk.	Je pense que nous devrions discuter.
I think you'll find it.	Je pense que tu vas le trouver.
I thought I'd lost you.	Je pensais que je vous avais perdue.
I thought you hated me.	Je pensais que vous me détestiez.
I told you not to move.	Je t'ai dit de ne pas bouger.
I try to be aggressive.	J'essaie d'être agressif.
I used to wear glasses.	Je portais des lunettes.
I want a word with you.	Je veux avoir un mot avec vous.
I want this to be over.	Je veux que ce soit terminé.
I want to check it out.	Je veux le vérifier.
I want to go to Boston.	Je veux aller à Boston.
I want to stay outside.	Quant à moi, je veux rester dehors.
I want you to be quiet.	Je veux que vous soyez silencieux.
I want you to see this.	Je veux que vous voyiez ceci.
I was following orders.	Je suivais les ordres.
I was just making sure.	Je voulais simplement m'en assurer.
I was really surprised.	J'étais vraiment surpris.
I was the last to know.	J'étais le dernier à savoir.
I was very disoriented.	J'étais très désorientée.
I wash clothes by hand.	Je lave les vêtements à la main.
I went for a long walk.	J'ai fait une longue promenade.
I wholeheartedly agree.	Je n'ai aucune réserve.
I will not be defeated.	Je ne serai pas défait.
I wish to go to Hawaii.	Je souhaite aller à Hawaï.
I work as a consultant.	Je travaille en tant qu'expert.
I wouldn't think of it.	Je n'y songerais pas.
I'd like to come along.	J'aimerais venir.
I'd say you're jealous.	Je dirais que tu es jalouse.
I'll be going with you.	J'irai avec toi.
I'll call the pharmacy.	J'appellerai la pharmacie.
I'll do the best I can.	Je ferai de mon mieux.
I'll have to work hard.	Je vais devoir travailler dur.
I'll miss your cooking.	Ta cuisine me manquera.
I'll rip your head off!	Je vous arracherai la tête !
I'll start with a beer.	Je vais commencer par une bière.
I'll take care of this.	J’en prendrai soin.
I'll turn the power on.	Je vais mettre le courant.
I'm a friend of theirs.	Je suis un de leurs amis.
I'm afraid of the dark.	J'ai peur de l'obscurité.
I'm applying for a job.	Je postule pour un emploi.
I'm aware of the risks.	Je suis conscient des risques.
I'm doing this for you.	Je le fais pour vous.
I'm glad I invited you.	Je suis heureux de vous avoir invitée.
I'm glad I left Boston.	Je suis contente d'être partie de Boston.
I'm glad you're coming.	Je suis heureux que vous veniez.
I'm happy for you both.	Je suis heureuse pour vous deux.
I'm horrible with kids.	Je suis terrible avec les enfants.
I'm just not very busy.	Je ne suis simplement pas très occupée.
I'm looking for my pen.	Je cherche mon stylo.
I'm no friend of yours.	Je ne compte pas au nombre de tes amis.
I'm not all that drunk.	Je ne suis pas saoul à ce point.
I'm not busy right now.	Je ne suis pas occupée, à l'instant.
I'm not happy about it.	Je n'en suis pas contente.
I'm not ready for this.	Je ne suis pas prête pour ceci.
I'm not talking to you.	Je ne parle pas avec vous.
I'm only doing my duty.	Je ne fais que mon devoir.
I'm ready for tomorrow.	Je suis prêt pour demain.
I'm really proud of it.	J'en suis réellement fière.
I'm so glad I did this.	Je suis tellement content d'avoir fait ça.
I'm sure this can wait.	Je suis sûre que ça peut attendre.
I'm tired of this mess.	Je suis fatigué de ce désordre.
I'm trying to be happy.	J'essaye d'être heureux.
I'm using the computer.	Je suis en train d'utiliser l'ordinateur.
I've already had lunch.	J'ai déjà déjeuné.
I've done that already.	J'ai déjà fait ça.
I've got a plastic cup.	J'ai un verre en plastique.
I've got plans for you.	J'ai des projets pour toi.
I've lost all my money.	J'ai perdu tout mon argent.
I've never told anyone.	Je ne l'ai jamais dit à personne.
I've ruined everything.	J'ai tout foiré.
Is Tom going to Boston?	Est-ce que Tom va à Boston ?
Is anyone absent today?	Quiconque est-il absent, aujourd'hui ?
Is everyone recovering?	Tout le monde se remet-il ?
Is it a recent picture?	Est-ce une photo récente ?
Is something happening?	Quelque chose a-t-il lieu ?
Is that your real name?	Est-ce là ton véritable nom ?
Is there anybody there?	Quiconque est-il là ?
Is this where you live?	Est-ce là que tu vis ?
Is your mother at home?	Ta mère est-elle à la maison ?
It didn't go very well.	Cela ne s'est pas très bien passé.
It happened so quickly.	C'est arrivé si vite.
It is raining hard now.	Il pleut beaucoup maintenant.
It just makes no sense.	Ça n'a simplement aucun sens.
It might rain tomorrow.	Il pourrait pleuvoir demain.
It tastes like chicken.	Ça a goût de poulet.
It was a very big room.	C'était une très grande pièce.
It was extremely funny.	C'était extrêmement amusant.
It was not an accident.	Ce ne fut pas un accident.
It was there yesterday.	Il était là hier.
It wasn't all that bad.	Tout n'était pas si mauvais.
It won't stop bleeding.	Ça ne s'arrête pas de saigner.
It's a fake one, right?	C'est un faux, non ?
It's a present for you.	C'est un cadeau pour toi.
It's against the rules.	C'est contraire aux règles.
It's an ambitious plan.	C'est un plan ambitieux.
It's close to my house.	C'est près de ma maison.
It's going really well.	Ça se déroule vraiment très bien.
It's incredibly boring.	C'est incroyablement ennuyeux.
It's morally repugnant.	C'est moralement répugnant.
It's not for everybody.	Ça ne s'adresse pas à tout le monde.
It's past your bedtime.	L'heure d'aller te coucher est passée.
It's snowing in Boston.	Il neige à Boston.
It's time to go to bed.	C'est l'heure d'aller au lit.
It's very entertaining.	C'est très divertissant.
Just be glad you're OK.	Contente-toi juste d'être saine et sauve.
Just get off the stage.	Descendez simplement de la scène !
Keep the meter running.	Laisse tourner le compteur.
Let him do as he likes.	Laisse-le faire comme il a envie.
Let me get you the key.	Laissez-moi vous dégoter la clé.
Let me write that down.	Laisse-moi noter ça !
Let's do this properly.	Faisons-le correctement.
Let's go and say hello.	Allons-y dire bonjour.
Let's put it to a vote.	Soumettons-le au vote.
Let's sit on the grass.	Asseyons-nous sur l'herbe.
Let's wait till Monday.	Attendons jusqu'à lundi.
Look down at the floor.	Regarde le sol.
Luckily nobody drowned.	Heureusement, personne ne se noya.
Mary is my half-sister.	Marie est ma demi-sœur.
May I look at the menu?	Puis-je jeter un coup d'œil au menu ?
Maybe Tom will help us.	Peut-être Tom nous aidera-t-il.
Money isn't everything.	L'argent n'est pas tout.
My boss is very strict.	Ma patronne est très stricte.
My cholesterol is high.	Mon taux de cholestérol est élevé.
My dog has a long tail.	Mon chien a une longue queue.
My father's car is new.	La voiture de mon père est nouvelle.
My house faces the sea.	Ma maison se trouve en face de la mer.
My mother cooks for me.	Ma mère cuisine pour moi.
My passport was stolen.	On m'a volé mon passeport.
My son is a journalist.	Mon fils est journaliste.
Nice of you to drop by.	C'est sympa de passer.
No one could deny this.	Personne ne pourrait nier cela.
No one knew who did it.	Personne ne savait qui l'avait fait.
No one was in the room.	Personne n'était dans la pièce.
Nobody can surpass him.	Personne ne le surpasse.
None of these are mine.	Il n'y en a aucun à moi.
Now I have to find Tom.	Maintenant je dois trouver Tom.
Oh, don't be like that.	Oh, ne sois pas comme ça !
Our dogs were poisoned.	On a empoisonné nos chiens.
Please correct my bill.	Veuillez corriger ma note.
Please give me a break.	Fiche-moi la paix, s'il te plait.
Please open the window.	Veux-tu ouvrir la fenêtre, s'il te plaît ?
Practice makes perfect.	La pratique conduit à la perfection.
Read between the lines.	Lisez entre les lignes.
School begins in April.	L'école commence en avril.
Shall we walk or drive?	Nous y allons à pied ou en voiture ?
She begged him to stay.	Elle le supplia de rester.
She can speak Japanese.	Elle sait parler japonais.
She doesn't seem happy.	Elle ne semble pas heureuse.
She got engaged to him.	Elle se fiança avec lui.
She had white shoes on.	Elle portait des chaussures blanches.
She is a gifted artist.	Elle est une artiste-née.
She is his real mother.	Elle est sa véritable mère.
She is wiser than I am.	Elle est plus sage que je ne le suis.
She lied about her age.	Elle a menti sur son âge.
She loves her children.	Elle adore ses enfants.
She put on her sweater.	Elle a mis son pull-over.
She showed me her room.	Elle m'a montré sa chambre.
She told me her secret.	Elle m'a dit son secret.
She was painfully thin.	Elle était atrocement mince.
She writes beautifully.	Elle écrit magnifiquement.
She's always on the go.	Elle est toujours en mouvement.
She's younger than him.	Elle est plus jeune que lui.
Show me how to do this.	Montre-moi comment le faire !
So what do you suggest?	Alors que suggérez-vous ?
Some of these are mine.	Il y en a quelques-unes à moi.
Something has happened.	Il est arrivé quelque chose.
Sorry to interrupt you.	Désolé de t'interrompre.
Stop deluding yourself.	Arrêtez de vous mentir à vous-mêmes !
Stop what you're doing.	Arrêtez ce que vous faites !
Take aim at the target.	Vise la cible.
Take the bags upstairs.	Emmenez les bagages dans les étages.
Tell Tom what you mean.	Dis à Tom ce que tu veux dire.
Tell me where you went.	Dis-moi où tu es allée.
Tell me why you did it.	Dites-moi pourquoi vous l'avez fait.
Thank you ever so much.	Un grand merci.
Thanks for the tickets.	Merci pour les tickets.
That cost me a fortune.	Ça m'a coûté une fortune.
That house is for sale.	Cette maison est en vente.
That looks kind of fun.	Ça a l'air assez amusant.
That one usually works.	Celle-ci fonctionne généralement.
That sounds outrageous.	Ça a l'air grotesque.
That was a great party.	C'était une superbe fête.
That wouldn't be smart.	Cela n'aurait pas été très futé.
That's a very bad idea.	C'est une très mauvaise idée.
That's an ugly thought.	C'est une vilaine pensée.
That's my final answer.	C'est mon dernier mot.
That's not quite right.	Ce n'est pas tout à fait exact.
That's really pathetic.	C'est vraiment pathétique.
That's totally awesome.	C'est complètement super.
That's what I'm saying.	C'est ce que je dis.
That's why we want you.	C'est pourquoi c'est toi que nous voulons.
The boy almost drowned.	Le garçon se noya presque.
The cat ruined my sofa.	Le chat a détruit mon canapé.
The clock is defective.	L'horloge est défectueuse.
The day is almost over.	La journée tire à sa fin.
The door was wide open.	La porte était grande ouverte.
The game's almost over.	La partie est presque terminée.
The house is beautiful.	La maison est belle.
The key is in the door.	La clef est sur la porte.
The man died of cancer.	L'homme est mort d'un cancer.
The middle one is mine.	Celle du milieu est la mienne.
The noise is deafening.	Le bruit est assourdissant.
The plants are growing.	Les plantes grandissent.
The real heroes are us.	C'est nous qui sommes les véritables héros.
The situation is grave.	La situation est grave.
The story ends happily.	L'histoire se finit bien.
The three women smiled.	Les trois femmes sourirent.
The wind has died down.	Le vent s'est calmé.
There are no loopholes.	Il n'y a pas de faille.
There was an explosion.	Il y a eu une explosion.
There're no guarantees.	Il n'y a pas de garantie.
These all belong to me.	Ceux-ci sont tous à moi.
They agreed on a price.	Elles s'accordèrent sur un prix.
They are my classmates.	Ce sont mes camarades de classe.
They basked in the sun.	Elles ont pris un bain de soleil.
They don't despise you.	Ils ne te méprisent pas.
They don't talk at all.	Elles ne parlent pas du tout.
They gave me no choice.	Ils ne m'ont pas laissé le choix.
They have enough money.	Elles disposent de suffisamment d'argent.
They hid in the cellar.	Elles se cachèrent dans la cave.
They live in this town.	Ils vivent dans cette ville.
They make a great team.	Ils constituent une grande équipe.
They seem to trust you.	Ils ont l''air de te faire confiance.
They were very excited.	Ils étaient très excités.
They're both beautiful.	Ils sont tous les deux beaux.
They're late, as usual.	Elles sont en retard, comme d'habitude.
They're still not safe.	Ils ne sont toujours pas en sécurité.
They've done it before.	Elles l'ont fait auparavant.
This boat is seaworthy.	Le navire est en état de naviguer.
This coat is rainproof.	Ce manteau est imperméable.
This file is encrypted.	Ce fichier est chiffré.
This is a common error.	C'est une erreur commune.
This is all so strange.	Tout est si étrange.
This is highly unusual.	C'est très inhabituel.
This is my old bicycle.	Ceci est mon vieux vélo.
This is not negotiable.	Ce n'est pas négociable.
This is taking forever.	Ça prend une éternité.
This is very dangerous.	C'est très dangereux.
This is your community.	C'est votre communauté.
This joke is not funny.	Cette blague n'est pas drôle.
This milk tastes funny.	Ce lait a un drôle goût.
This one's still alive.	Celle-ci est encore en vie.
This room is very warm.	Cette chambre est très chaude.
This tape isn't sticky.	Ce scotch ne colle pas.
This wasn't your fault.	Ce n'était pas ta faute.
Those are your choices.	Voilà vos options.
Today is extremely hot.	Aujourd'hui est une journée extrêmement chaude.
Tom also likes bananas.	Tom aime aussi les bananes.
Tom ate a can of beans.	Tom a mangé une boîte de haricots.
Tom can play the flute.	Tom sait jouer de la flûte.
Tom crossed the street.	Tom traversa la rue.
Tom didn't tell me why.	Tom ne m'a pas dit pourquoi.
Tom doesn't need to go.	Tom n'a pas besoin d'y aller.
Tom folded the blanket.	Tom a plié la couverture.
Tom gave me this watch.	Tom me donna cette montre.
Tom has a student visa.	Tom a un visa d'étudiant.
Tom has written a book.	Tom a écrit un livre.
Tom insisted that I go.	Tom insista pour que j'y aille.
Tom is a religious man.	Tom est un homme pieux.
Tom is as smart as you.	Tom est aussi malin que toi.
Tom is fighting cancer.	Tom combat le cancer.
Tom is lucky, isn't he?	Tom est chanceux, n'est-ce pas ?
Tom is no ordinary man.	Tom n'est pas un homme ordinaire.
Tom is our best player.	Tom est notre meilleur joueur.
Tom is still confident.	Tom est toujours sûr de lui.
Tom is waiting for you.	Tom t'attend.
Tom isn't always wrong.	Tom n'a pas toujours tort.
Tom knows I'm Canadian.	Tom sait que je suis canadien.
Tom looked embarrassed.	Tom avait l'air embarrassé.
Tom met John in prison.	Tom rencontra John en prison.
Tom only listens to me.	Tom n'écoute que moi.
Tom put his glass down.	Tom a posé son verre.
Tom sat in front of us.	Tom s'est assis en face de nous.
Tom sipped some coffee.	Tom sirota du café.
Tom stared at his feet.	Tom fixa ses pieds.
Tom thinks it's stupid.	Tom trouve que c'est stupide.
Tom took off his shirt.	Tom a retiré sa chemise.
Tom turned off the fan.	Tom a éteint le ventilateur.
Tom wants to visit you.	Tom veut venir te voir.
Tom was really unlucky.	Tom était vraiment malchanceux.
Tom will never give up.	Tom n'abandonnera jamais.
Tom's party was boring.	La fête de Tom était ennuyeuse.
Transplants save lives.	Les transplantations sauvent des vies.
Try to avoid junk food.	Essaye d'éviter la malbouffe.
Wait for a few seconds.	Attendez quelques secondes.
Was it a hard decision?	Était-ce une décision difficile ?
Watch out for that man.	Gare à cet homme-là.
We all deserve respect.	Nous méritons toutes le respect.
We are to meet at noon.	Nous avons rendez-vous à midi.
We can be a lot better.	Nous pouvons être bien meilleurs.
We can't do this again.	Nous ne parvenons pas à le refaire.
We could be happy here.	Nous pourrions être heureux ici.
We did all we could do.	Nous avons fait tout ce que nous avons pu.
We don't know anything.	Nous ne savons rien.
We exchanged greetings.	Nous échangeâmes des salutations.
We had a very busy day.	Nous avons eu une journée très chargée.
We have finished lunch.	Nous avons fini de déjeuner.
We have to be cautious.	Nous devons être prudents.
We haven't seen it yet.	Nous ne l'avons pas encore vu.
We know you're in pain.	Nous savons que vous avez mal.
We met a few weeks ago.	Nous nous sommes rencontrés il y a quelques semaines.
We need some help here.	Nous avons besoin d'aide ici.
We play games together.	Nous jouons à des jeux ensemble.
We saw nothing strange.	Nous ne vîmes rien d'étrange.
We sometimes meet them.	Nous les rencontrons de temps en temps.
We want to have a baby.	Nous voulons avoir un enfant.
We waste a lot of time.	Nous gâchons beaucoup de temps.
We won't be doing that.	Nous n'allons pas faire ça.
We'll decide by voting.	Faisons un vote.
We're all disappointed.	Nous sommes tous déçus.
We're all sure of that.	Nous en sommes toutes certaines.
We're glad you're here.	Nous sommes contents que tu sois là.
We're here to help you.	Nous sommes ici pour vous aider.
We're not turning back.	Nous n'allons pas faire demi-tour.
We've run out of sugar.	Nous sommes à court de sucre.
Well, I'm proud of you.	Eh bien, je suis fière de vous.
Were you conscientious?	As-tu été consciencieux ?
What a beautiful scene!	Quel beau tableau !
What actually happened?	Que s'est-il passé, en réalité ?
What are you preparing?	Que préparez-vous ?
What choice do we have?	De quel choix disposons-nous ?
What did your wife say?	Qu'a dit ta femme ?
What do you have to do?	Que vous faut-il faire ?
What do you see in him?	Que lui trouvez-vous ?
What does the cat want?	Que veut le chat ?
What if we should fail?	Que se passera-t-il si nous devions échouer ?
What is my room number?	Lequel est le numéro de ma chambre ?
What made you so angry?	Qu'est-ce qui t'a mis si en colère ?
What time do you leave?	À quelle heure partez-vous ?
What was in it for you?	Qu'y avait-il là pour toi ?
What will you do today?	Qu'est-ce que tu vas faire aujourd'hui ?
What're we looking for?	Que cherche-t-on ?
What's asphalt made of?	De quoi est fait l'asphalte ?
What's it like in jail?	C'est comment la prison ?
What's the movie about?	De quoi parle le film ?
What's wrong with them?	Qu'est-ce qui cloche avec elles ?
What's your dad's name?	Quel est le nom de votre père ?
When did you finish it?	Quand l'avez-vous terminé ?
When is he coming back?	Quand est-ce qu'il revient ?
Where are they meeting?	Où se rencontrent-elles ?
Where can I get a taxi?	Où puis-je prendre un taxi ?
Where did everybody go?	Où est allé tout le monde ?
Where do we need to go?	Où avons-nous besoin d'aller ?
Where is the newspaper?	Où est le journal ?
